claim,source,published_at,verified_with,confidence
"Esoteric programming languages are useful as out-of-distribution tests because they require normal computational primitives but are far less represented than mainstream languages.","https://arxiv.org/html/2603.09678v1","2026-03","https://esolangs.org/wiki/Brainfuck",high
"Brainfuck is imperative, cell/tape-based, Turing complete, and has compilers, interpreters, JIT interpreters, hardware implementations, and self-interpreters listed by the esolang community.","https://esolangs.org/wiki/Brainfuck","community page, accessed 2026-06-27","https://arxiv.org/html/2603.09678v1",medium
"Befunge-93 uses a two-dimensional grid and a program counter that can move left, right, up, or down; this makes interpreter execution natural and compilation harder.","https://catseye.tc/view/Befunge-93/doc/Befunge-93.markdown","original 1993, updated through 2018","https://github.com/catseye/Befunge-93",high
"The Befunge-93 reference distribution includes a reference interpreter/debugger and a Befunge-to-ANSI-C compiler.","https://github.com/catseye/Befunge-93","2018 reference distribution page, accessed 2026-06-27","https://catseye.tc/view/Befunge-93/doc/Befunge-93.markdown",high
"Piet programs look like abstract paintings and are usually run by parsing image color transitions into stack operations.","https://www.dangermouse.net/esoteric/piet.html","undated spec page, accessed 2026-06-27","https://esolangs.org/wiki/Piet",high
"Chef programs look like cooking recipes; ingredients hold numeric data and can be output as Unicode characters or numbers.","https://www.dangermouse.net/esoteric/chef.html","syntax update noted 2003-07-17","https://esolangs.org/wiki/Chef",high
"Whitespace uses only space, tab, and linefeed as syntax; other characters are ignored, and it has stack, arithmetic, I/O, flow, and heap instruction groups.","https://esolangs.org/wiki/Whitespace","community page, accessed 2026-06-27","https://arxiv.org/html/2603.09678v1",medium
"Shakespeare language source looks like plays; shakespearelang provides a Python interpreter, console, and debugger, while other SPL-to-C implementations exist.","https://shakespearelang.com/1.0/","docs page, accessed 2026-06-27","https://github.com/zmbc/shakespearelang",high
"LOLCODE has an official-looking language site, a v1.2 specification, and the lci interpreter is written in C with lexer/parser/interpreter components.","https://lolcode.org/","accessed 2026-06-27","https://github.com/justinmeza/lolcode-spec/blob/master/v1.2/lolcode-spec-v1.2.md",high
"INTERCAL was designed to have almost nothing in common with existing major programming languages and still includes variables, arrays, and I/O.","https://3e8.org/pub/intercal.pdf","manual copyright 1973","https://www.catb.org/~esr/intercal/",high
