claim,source,published_at,verified_with,confidence
"Rocq/Coq is an interactive proof assistant for formal specifications and proofs, with extraction to executable programs.","https://rocq-prover.org/","accessed 2026-06-27","CompCert and Rocq official pages describe Coq/Rocq-backed verification/extraction.",high
"Lean is an open-source programming language and proof assistant for formally verified code.","https://lean-lang.org/","accessed 2026-06-27","Mathlib page confirms broad formalized math library ecosystem.",high
"seL4 has machine-checked mathematical proofs for Arm, RISC-V, and Intel architectures.","https://sel4.systems/Verification/proofs.html","accessed 2026-06-27","ACM seL4 formal verification paper independently documents the verified OS-kernel work.",high
"CompCert is a formally verified C compiler with machine-checked proof that generated code follows source semantics.","https://compcert.org/","accessed 2026-06-27","CompCert GitHub overview repeats the verified compiler claim.",high
"Dafny is a verification-aware language with native specifications and a static verifier.","https://dafny.org/","accessed 2026-06-27","Dafny GitHub describes verifier feedback and compilation targets.",high
"Frama-C is an open-source platform for C source-code analysis fueled by formal methods.","https://frama-c.com/","accessed 2026-06-27","Frama-C publications describe industrial-size C verification work.",high
"Z3 is an SMT solver for symbolic logic and a foundation for software engineering verification tools.","https://www.microsoft.com/en-us/research/project/z3-3/","accessed 2026-06-27","Microsoft Z3 Guide describes satisfiability checking over multiple theories.",high
"TLA+ is useful for specifying concurrent and distributed systems, with TLAPS mechanically checking proofs.","https://proofs.tlapl.us/doc/web/content/Home.html","accessed 2026-06-27","Lamport ACM paper describes TLA+ for specifying/verifying systems.",high
"Hypothesis is Python property-based testing: tests should pass for all inputs in a described range and the tool generates cases.","https://hypothesis.readthedocs.io/","accessed 2026-06-27","HypothesisWorks site gives the same description.",high
"Coverage-guided fuzzing uses instrumentation to guide input mutation toward new coverage.","https://google.github.io/clusterfuzz/reference/coverage-guided-vs-blackbox/","accessed 2026-06-27","AFL docs describe compile-time instrumentation and generated interesting test cases.",high
"SWE-bench Verified is a human-filtered subset of 500 instances for evaluating AI software issue resolution.","https://www.swebench.com/","accessed 2026-06-27","OpenAI announcement describes human-validated SWE-bench subset.",high
"Wolfram Language is a broad symbolic computational language with high-level domain objects and built-in knowledge.","https://www.wolfram.com/language/","accessed 2026-06-27","Wolfram Mathematica page describes thousands of functions and real-world data.",medium
"Scratch, Blockly, and Node-RED represent accessible block/flow systems for working programs.","https://scratch.mit.edu/starter-projects","accessed 2026-06-27","Blockly docs and Node-RED GitHub confirm visual/block/low-code flow programming.",high
"SCBE Machine Crystal currently produces executable/rejected receipts across shape programs, p/n/e conservation, Bhargava overlays, and geometry relation maps.","scripts/system/review_machine_crystal_area.py","local 2026-06-27","artifacts/machine_crystal/area_review.json",high
