claim,source,published_at,verified_with,confidence
"RNN Encoder-Decoder maps a source symbol sequence into a representation and decodes it into a target sequence, trained to maximize target probability given source.","https://arxiv.org/abs/1406.1078","2014-06-03","https://arxiv.org/abs/1409.0473","high"
"Attention in early NMT was introduced to avoid the fixed-vector bottleneck by allowing a model to soft-search relevant source parts while predicting a target word.","https://arxiv.org/abs/1409.0473","2014-09-01","https://arxiv.org/abs/1609.08144","high"
"GNMT used deep LSTM encoder/decoder layers with attention and residual connections, plus low-precision inference and wordpieces for rare-word handling.","https://arxiv.org/abs/1609.08144","2016-09-26","https://research.google/blog/a-neural-network-for-machine-translation-at-production-scale/","high"
"GNMT reported an average 60% reduction in translation errors versus Google's phrase-based production system on isolated simple sentences.","https://arxiv.org/abs/1609.08144","2016-09-26","https://research.google/blog/a-neural-network-for-machine-translation-at-production-scale/","high"
"Subword units were proposed for NMT rare-word handling, with Sennrich et al. publishing the ACL 2016 paper on BPE-style subword translation.","https://aclanthology.org/P16-1162/","2016-08","https://arxiv.org/abs/1609.08144","high"
"SentencePiece can train subword models directly from raw sentences rather than requiring pre-tokenized word sequences.","https://arxiv.org/abs/1808.06226","2018-08-19","https://huggingface.co/docs/tokenizers/en/pipeline","high"
"Hugging Face documents tokenization as normalization, pre-tokenization, model, post-processing, and decoding.","https://huggingface.co/docs/tokenizers/en/pipeline","current docs accessed 2026-06-27","https://github.com/openai/tiktoken","high"
"OpenAI tiktoken describes BPE tokenization as reversible and lossless for converting tokens back into original text.","https://github.com/openai/tiktoken","current README accessed 2026-06-27","https://huggingface.co/docs/tokenizers/en/pipeline","high"
"Semi-autoregressive NMT keeps global autoregressive structure while producing multiple successive words in parallel at each time step.","https://arxiv.org/abs/1808.08583","2018-08-26","https://arxiv.org/abs/2211.17192","high"
"Speculative decoding drafts several tokens with an approximation model and verifies them with the larger model, accelerating inference without changing the output distribution.","https://arxiv.org/abs/2211.17192","2022-11-30","https://arxiv.org/abs/2404.19737","high"
"Multi-token prediction trains LLMs to predict several future tokens at once using multiple output heads over a shared trunk.","https://arxiv.org/abs/2404.19737","2024-04-30","https://arxiv.org/abs/2211.17192","medium-high"
"Reflexion uses verbal feedback and episodic memory to improve later agent attempts without updating weights.","https://arxiv.org/abs/2303.11366","2023-03-20","https://arxiv.org/abs/2303.17651","medium-high"
"Self-Refine uses iterative feedback and refinement from the same LLM without requiring supervised training data or RL.","https://arxiv.org/abs/2303.17651","2023-03-30","https://arxiv.org/abs/2303.11366","medium-high"
"Boot.dev markets hands-on coding, game-like curriculum, portfolio projects, Backend/DevOps paths, and an AI mentor named Boots.","https://www.boot.dev/","current page accessed 2026-06-27","https://www.boot.dev/training","high"
"Boot.dev Training Grounds advertises personalized challenges, spaced repetition, three challenge types, custom prompts, XP, streaks, quests, and more than 40,000 student-rated challenges.","https://www.boot.dev/training","current page accessed 2026-06-27","https://www.boot.dev/","high"
"Anthropic's Artifacts put generated code, documents, or website designs in a dedicated real-time workspace beside the chat.","https://www.anthropic.com/news/claude-3-5-sonnet","2024-06-21","https://code.claude.com/docs/en/overview","high"
"Anthropic tool-use docs describe a pattern where the model returns structured tool calls and the application or server executes them.","https://platform.claude.com/docs/en/agents-and-tools/tool-use/overview","current docs accessed 2026-06-27","https://code.claude.com/docs/en/overview","high"
"Claude Code is documented as an agentic coding tool that reads codebases, edits files, runs commands, and integrates with development tools.","https://code.claude.com/docs/en/overview","current docs accessed 2026-06-27","https://platform.claude.com/docs/en/agents-and-tools/tool-use/overview","high"
"Claude for Chrome is a beta browser extension that can navigate, click, fill forms, and work with Claude Code and Cowork; Anthropic flags browser AI prompt-injection and sensitive-action risks.","https://claude.com/claude-for-chrome","current page accessed 2026-06-27","https://platform.claude.com/docs/en/agents-and-tools/tool-use/overview","high"
