id,title,category,source,url,timestamp,trust_score,governance_zone,chain_hash,content_length,content_preview,tongue_KO,tongue_AV,tongue_RU,tongue_CA,tongue_UM,tongue_DR,edge_count,notion_id
410a82d3bb4a70b9,🔬 SCBE-AETHERMOORE — Public Technical & Theory Hub,scbe-general,notion,https://www.notion.so/SCBE-AETHERMOORE-Public-Technical-Theory-Hub-558788e2135c483aac56f3acd77debc6,2026-01-27T07:26:00.000Z,0.5,GREEN,402994555ef2,9928,"# 🔬 SCBE-AETHERMOORE — Public Technical & Theory Hub  Public-Facing Technical Assets Purpose: Architecture explanations, demos, theory — what you SHOW to build credibility Audience: CTOs, security tea",0.0392,0.0635,0.1369,0.2215,0.2688,0.87,0,558788e2-135c-483a-ac56-f3acd77debc6
f25eda239702d94f,SCBE-AETHERMOORE + PHDM: Complete Mathematical & Security Specification,phdm,notion,https://www.notion.so/SCBE-AETHERMOORE-PHDM-Complete-Mathematical-Security-Specification-2d7f96de82e5803eb8a4ec918262b980,2025-12-28T21:25:00.000Z,0.5,GREEN,f5eba424e3d2,555,# SCBE-AETHERMOORE + PHDM: Complete Mathematical & Security Specification  SCBE-AETHERMOORE: Complete Mathematical & Security Specification A Comprehensive Technical Reference for Patent-Backed Quantu,0.0635,0.0343,0.1663,0.538,0.2902,0.7043,1,2d7f96de-82e5-803e-b8a4-ec918262b980
6da831e738f765f6,📚 SCBE-AETHERMORE System State Report — NotebookLM Ready (Feb 2026),scbe-general,notion,https://www.notion.so/SCBE-AETHERMORE-System-State-Report-NotebookLM-Ready-Feb-2026-ddf205f530d94bb489a830b137685f03,2026-02-07T01:07:00.000Z,0.5,GREEN,3839bdc03ac7,14438,"# 📚 SCBE-AETHERMORE System State Report — NotebookLM Ready (Feb 2026)  SCBE-AETHERMOORE Complete System State Report Version: v5.0 + HYDRA v1.1.0   Report Date: February 6, 2026   Status: ✅ Production",0.0856,0.1385,0.2987,0.4833,0.391,0.6327,2,ddf205f5-30d9-4bb4-89a8-30b137685f03
04c6ceb8148c6bb4,"Just launched our SCBE-AETHERMOORE interactive demo on Hugging Face! Explore 14-layer post-quantum encryption, lattice-based key generation, and security analysis - all in your browser.

Try it now: huggingface.co/spaces/issdandavis/SCBE-AETHERMOORE-Demo

#PostQuantum #CyberSecurity #AI #OpenSource",demo,notion,https://www.notion.so/Just-launched-our-SCBE-AETHERMOORE-interactive-demo-on-Hugging-Face-Explore-14-layer-post-quantum-e-305f96de82e580069e8fc4389836729d,2026-02-12T15:06:00.000Z,0.5,GREEN,c3c6efbf2e29,602,"# Just launched our SCBE-AETHERMOORE interactive demo on Hugging Face! Explore 14-layer post-quantum encryption, lattice-based key generation, and security analysis - all in your browser.  Try it now:",0.1356,0.4389,0.1184,0.5745,0.3099,0.5014,3,305f96de-82e5-8006-9e8f-c4389836729d
d7bebb6191bc78dd,SCBE-AETHERMOORE Marketing Content Calendar,marketing,notion,https://www.notion.so/SCBE-AETHERMOORE-Marketing-Content-Calendar-306f96de82e5802abfeef64460b20aa2,2026-02-13T23:54:00.000Z,0.5,GREEN,437dd7c1fd24,2813,# SCBE-AETHERMOORE Marketing Content Calendar  Content schedule for social media rollout over next 16 hours Scheduled X/Twitter Posts Post 1 (4:00 PM) - SCHEDULED ✅ Introducing SCBE-AETHERMOORE: A rev,0.0796,0.1716,0.0694,0.2247,0.1818,0.8823,4,306f96de-82e5-802a-bfee-f64460b20aa2
d0193100ad349773,SCBE-AETHERMOORE Operations Hub,scbe-general,notion,https://www.notion.so/SCBE-AETHERMOORE-Operations-Hub-303f96de82e580dca63bf1ffd84e4ad3,2026-02-10T09:59:00.000Z,0.5,GREEN,8fabe765e85a,804,"# SCBE-AETHERMOORE Operations Hub  Central command for automated publishing, content scheduling, store operations, and work tracking. All content flows from here to Twitter/X, WordPress, Shopify, and ",0.127,0.1027,0.1662,0.4035,0.4352,0.7042,5,303f96de-82e5-80dc-a63b-f1ffd84e4ad3
a6904bd9c47e67e8,🚀 SCBE-AETHERMOORE Tech Deck - Complete Setup Guide,scbe-general,notion,https://www.notion.so/SCBE-AETHERMOORE-Tech-Deck-Complete-Setup-Guide-60922537b0cb4b9fa34ac82eb242ed9b,2026-01-17T20:45:00.000Z,0.5,GREEN,ebd512467852,45522,"# 🚀 SCBE-AETHERMOORE Tech Deck - Complete Setup Guide  SCBE-AETHERMOORE: Complete Technical Deck Version: 3.2.4 (npm) / v5.0 (spec) | Status: Production-Ready | Last Updated: February 8, 2026 (audit r",0.0756,0.1224,0.198,0.6407,0.3456,0.5592,5,60922537-b0cb-4b9f-a34a-c82eb242ed9b
c79305fd0f220e51,💬 SCBE-AETHERMOORE Public Forum - Questions & Discussions,scbe-general,notion,https://www.notion.so/SCBE-AETHERMOORE-Public-Forum-Questions-Discussions-1cdeb303981c4602ad0d1cd99d1ce2ba,2026-02-08T02:00:00.000Z,0.5,GREEN,dca4a43e2916,6777,"# 💬 SCBE-AETHERMOORE Public Forum - Questions & Discussions  Welcome to the SCBE-AETHERMOORE Community Forum Ask questions, share insights, report issues This page is for community discussion about SC",0.0541,0.0876,0.1417,0.3057,0.371,0.8004,5,1cdeb303-981c-4602-ad0d-1cd99d1ce2ba
e9bdf8b0747dcffd,🔧 SCBE-AETHERMOORE Technical Reference - Complete Function & Math Index,scbe-general,notion,https://www.notion.so/SCBE-AETHERMOORE-Technical-Reference-Complete-Function-Math-Index-5a389a3e07264e0eae46e81b51c1eb27,2026-02-08T02:00:00.000Z,0.5,GREEN,f1115c2f2035,7920,"# 🔧 SCBE-AETHERMOORE Technical Reference - Complete Function & Math Index  Complete Technical Reference Auto-consolidated from all SCBE-AETHERMOORE documentation This page compiles all functions, math",0.0831,0.0897,0.1451,0.5869,0.3799,0.6146,5,5a389a3e-0726-4e0e-ae46-e81b51c1eb27
da8e2467edb9dceb,🔮 SCBE Phase–Breath Hyperbolic Governance - 14-Layer Mathematical Core v1.2,governance,notion,https://www.notion.so/SCBE-Phase-Breath-Hyperbolic-Governance-14-Layer-Mathematical-Core-v1-2-efef8c70c8e0455d91e46ce0ef859a14,2026-02-07T01:44:00.000Z,0.5,GREEN,460ebb9fd608,4670,# 🔮 SCBE Phase–Breath Hyperbolic Governance - 14-Layer Mathematical Core v1.2  SCBE Phase–Breath Hyperbolic Governance 14-Layer to Mathematical Core Mapping Version: 1.2   Date: January 2026   Author:,0.2609,0.0528,0.4269,0.2763,0.2235,0.7233,5,efef8c70-c8e0-455d-91e4-6ce0ef859a14
