claim,source,published_at,verified_with,confidence
"GNMT used deep LSTM encoder/decoder with attention, residual connections, WordPiece/subwords, low-precision inference, and beam search controls.","https://arxiv.org/abs/1609.08144","2016-09-26","Google official announcement and paper abstract",High
"Attention addresses the fixed-vector bottleneck in early encoder-decoder NMT by soft-searching relevant source positions during decoding.","https://arxiv.org/abs/1409.0473","2014-09-01","Cho encoder-decoder paper https://arxiv.org/abs/1406.1078",High
"RNN Encoder-Decoder models map variable input sequences to target sequences and learned meaningful phrase representations for SMT/NMT.","https://arxiv.org/abs/1406.1078","2014-06-03","Bahdanau attention NMT https://arxiv.org/abs/1409.0473",High
"Transformers replaced recurrence/convolution with attention-only architecture and improved parallelization/training time for translation tasks.","https://arxiv.org/abs/1706.03762","2017-06-12","GNMT paper as prior recurrent production system https://arxiv.org/abs/1609.08144",High
"BPE/subword units help NMT handle rare and unknown words in fixed-vocabulary systems.","https://arxiv.org/abs/1508.07909","2015-08-31","GNMT WordPiece note https://arxiv.org/abs/1609.08144",High
"SentencePiece supports language-independent tokenization/detokenization from raw sentences without requiring pre-tokenization.","https://arxiv.org/abs/1808.06226","2018-08-19","BPE rare words paper https://arxiv.org/abs/1508.07909",High
"Speculative decoding drafts multiple future tokens with a smaller model and verifies with the large model, preserving output distribution when exact.","https://arxiv.org/abs/2211.17192","2022-11-30","Medusa multi-head verification paper https://arxiv.org/abs/2401.10774",High
"Non-autoregressive NMT can lower latency by producing output tokens in parallel but may trade off quality versus autoregressive teachers.","https://arxiv.org/abs/1711.02281","2017-11-07","Speculative decoding paper https://arxiv.org/abs/2211.17192",High
"Medusa adds multiple decoding heads and verifies candidate continuations with tree attention to reduce decoding steps.","https://arxiv.org/abs/2401.10774","2024-01-19","Speculative decoding paper https://arxiv.org/abs/2211.17192",High
"Self-Refine improves outputs through generate-feedback-refine loops without weight updates.","https://arxiv.org/abs/2303.17651","2023-03-30","Reflexion paper https://arxiv.org/abs/2303.11366",High
"Reflexion stores verbal reflections from task feedback in episodic memory rather than updating weights.","https://arxiv.org/abs/2303.11366","2023-03-20","Self-Refine paper https://arxiv.org/abs/2303.17651",High
"ReAct interleaves reasoning traces and external actions to reduce hallucination/error propagation in tool environments.","https://arxiv.org/abs/2210.03629","2022-10-06","Tree of Thoughts paper https://arxiv.org/abs/2305.10601",High
"Boot.dev emphasizes writing lots of code, game-like curriculum, backend/devops paths, portfolio projects, progress, community, and interactive challenges.","https://www.boot.dev/","2026-06-27 accessed","Boot.dev pricing/features page https://www.boot.dev/pricing",High
"Boot.dev has an official CLI for submitting lessons/challenges, logging in, and configuring lesson HTTP test base URLs.","https://github.com/bootdotdev/bootdev","2026-06-27 accessed","Boot.dev homepage https://www.boot.dev/",High
"Anthropic Artifacts provide a dedicated space to see, iterate, and build code/documents/visualizations with Claude.","https://claude.com/blog/artifacts","2024-08-27","Claude Code page https://claude.com/product/claude-code",High
"Anthropic computer use lets Claude use screenshots plus mouse/keyboard/desktop control, but is beta and riskier around internet use.","https://www.anthropic.com/news/3-5-models-and-computer-use","2024-10-22","Computer use docs https://platform.claude.com/docs/en/agents-and-tools/tool-use/computer-use-tool",High
"Claude Code reads codebases, edits files, runs terminal commands, and works across terminal/IDE/browser surfaces.","https://claude.com/product/claude-code","2026-06-27 accessed","Computer use docs and Artifacts page",High
"A first-party Anthropic feature literally named Claude Pal was not verified in this pass.","Web search across Anthropic/Claude official pages","2026-06-27 accessed","Closest official primitives: Artifacts, Computer Use, Claude Code",Medium
